bin_MSSubClass,MSZoning,Street,Alley,LandContour,LotConfig,bin_Neighborhood,bin_Condition1,bin_Condition2,BldgType,bin_HouseStyle,bin_RoofStyle,bin_RoofMatl,bin_Exterior1st,bin_Exterior2nd,MasVnrType,bin_Foundation,bin_Heating,CentralAir,bin_GarageType,bin_MiscFeature,bin_SaleType,bin_SaleCondition,has_MasVnr,has_2ndFlr,has_LowQualFin,has_WoodDeck,has_OpenPorch,has_EnclosedPorch,has_3SsnPorch,has_ScreenPorch,has_Pool,has_Bsmt,has_Garage,ind_BsmtFinSF1,ind_BsmtFinSF2,ind_MiscVal,ordbin_LotShape,ordbin_LandSlope,ordbin_ExterCond,ordbin_BsmtCond,ordbin_HeatingQC,ordbin_Electrical,ordbin_Functional,ordbin_GarageQual,ordbin_GarageCond,ordbin_PoolQC,ordbin_Fence,ord_ExterQual,ord_BsmtQual,ord_BsmtExposure,ord_BsmtFinType1,ord_BsmtFinType2,ord_KitchenQual,ord_FireplaceQu,ord_GarageFinish,ord_PavedDrive,bin_OverallQual,bin_OverallCond,bin_BsmtFullBath,bin_BsmtHalfBath,bin_FullBath,bin_HalfBath,bin_BedroomAbvGr,bin_KitchenAbvGr,bin_TotRmsAbvGrd,bin_Fireplaces,bin_GarageCars,bin_TotalBath,AgebySale,GarageAge,RemodAge,log_LotFrontage,log_LotArea,log_MasVnrArea,BsmtFinSF1,log_BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,log_1stFlrSF,2ndFlrSF,LowQualFinSF,log_GrLivArea,GarageArea,log_WoodDeckSF,log_OpenPorchSF,EnclosedPorch,3SsnPorch,log_ScreenPorch,log_PoolArea,log_MiscVal,log_TotalLivArea,log_TotalFlrSF,log_TotalPorchSF,SalePrice,log_SalePrice
60,RL,Pave,No alley access,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,None,WD,Normal,1,1,0,0,1,0,0,0,0,1,1,1,0,0,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,Gd,Gd,No,GLQ,Unf,Gd,No Fireplace,RFn,Y,4,2,1,0,1,1,1,0,4,0,2,5,5,5.0,5,4.189654742026425,9.042040056544483,5.2832037287379885,706,0.0,150,856,6.75343791859778,854,0,7.444833273892193,548,0.0,4.127134385045092,0,0,0.0,0.0,0.0,7.790282380703483,7.8504931808711405,4.127134385045092,208500,12.247694320220994
20,RL,Pave,No alley access,Lvl,FR2,other,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Attchd,None,WD,Normal,0,0,0,1,0,0,0,0,0,1,1,1,0,0,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,Gd,Gd,ALQ,Unf,TA,TA,RFn,Y,3,5,0,1,1,0,1,0,2,1,2,3,31,31.0,31,4.394449154672439,9.169622538697624,0.0,978,0.0,284,1262,7.141245122350491,0,0,7.141245122350491,460,5.700443573390687,0.0,0,0,0.0,0.0,0.0,7.714677473800927,7.83399634170946,0.0,181500,12.109010932687042
60,RL,Pave,No alley access,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,None,WD,Normal,1,1,0,0,1,0,0,0,0,1,1,1,0,0,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,Gd,Gd,Mn,GLQ,Unf,Gd,TA,RFn,Y,4,2,1,0,1,1,1,0,2,1,2,5,7,7.0,6,4.23410650459726,9.328212292571072,5.093750200806762,486,0.0,434,920,6.825460036255307,866,0,7.488293515159428,608,0.0,3.7612001156935624,0,0,0.0,0.0,0.0,7.728855823852543,7.903596289614301,3.7612001156935624,223500,12.31716669303576
70,RL,Pave,No alley access,Lvl,Corner,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,None,BrkTil,GasA,Y,Detchd,None,WD,Abnorml,0,1,0,0,1,1,0,0,0,1,1,1,0,0,IR1,Gtl,TA,Gd,Gd,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,TA,No,ALQ,Unf,Gd,Gd,Unf,Y,4,2,1,0,0,0,1,0,3,1,3,2,91,8.0,36,4.110873864173311,9.164401140034737,0.0,216,0.0,540,756,6.8690144506657065,756,0,7.4489161025442,642,0.0,3.58351893845611,272,0,0.0,0.0,0.0,7.56734567601324,7.813591552952433,5.730099782973574,140000,11.84939770159144
60,RL,Pave,No alley access,Lvl,FR2,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,None,WD,Normal,1,1,0,1,1,0,0,0,0,1,1,1,0,0,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,Gd,Gd,Av,GLQ,Unf,Gd,TA,RFn,Y,5,2,1,0,1,1,2,0,5,1,3,5,8,8.0,8,4.442651256490317,9.565283817736766,5.860786223465865,655,0.0,490,1145,7.044032897274685,1053,0,7.695757990554761,836,5.262690188904886,4.442651256490317,0,0,0.0,0.0,0.0,7.956476798036782,8.114922974204593,4.442651256490317,250000,12.429216196844383
50,RL,Pave,No alley access,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,other,GasA,Y,Attchd,Shed,WD,Normal,0,1,0,1,1,0,1,0,0,1,1,1,0,1,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,MnPrv,TA,Gd,No,GLQ,Unf,TA,No Fireplace,Unf,Y,2,2,1,0,0,1,0,0,1,0,2,3,16,16.0,14,4.454347296253507,9.55506418479516,0.0,732,0.0,64,796,6.680854678790215,566,0,7.217443431696533,480,3.713572066704308,3.4339872044851463,0,320,0.0,0.0,6.55250788703459,7.647308832356238,7.677400430514807,5.860786223465865,143000,11.870599909242044
20,RL,Pave,No alley access,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,None,WD,Normal,1,0,0,1,1,0,0,0,0,1,1,1,0,0,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,Gd,Ex,Av,GLQ,Unf,Gd,Gd,RFn,Y,5,2,1,0,1,0,1,0,3,1,2,4,3,3.0,2,4.330733340286331,9.218804450388312,5.231108616854587,1369,0.0,317,1686,7.43543801981455,0,0,7.43543801981455,636,5.545177444479562,4.060443010546419,0,0,0.0,0.0,0.0,8.027476530860483,8.125926802707886,4.060443010546419,307000,12.634603026569334
60,RL,Pave,No alley access,Lvl,Corner,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,CBlock,GasA,Y,Attchd,Shed,WD,Normal,1,1,0,1,1,1,0,0,0,1,1,1,1,1,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,Gd,Mn,ALQ,BLQ,TA,TA,RFn,Y,4,3,1,0,1,1,1,0,3,2,2,5,36,36.0,36,4.394449154672439,9.247925132303454,5.484796933490655,859,3.4965075614664802,216,1107,7.010311867307229,983,0,7.645397699428633,484,5.4638318050256105,5.3230099791384085,228,0,0.0,0.0,5.860786223465865,8.000349495324684,8.0702808933939,6.07073772800249,200000,12.206072645530174
50,RM,Pave,No alley access,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,Wd Shng,None,BrkTil,GasA,Y,Detchd,None,WD,Abnorml,0,1,0,1,0,1,0,0,0,1,1,0,0,0,Reg,Gtl,TA,TA,Gd,MiFuPF,Min1,PoFa,TA,No Pool,No Fence,TA,TA,No,Unf,Unf,TA,TA,Unf,Y,4,2,0,0,1,0,0,1,4,2,2,2,77,77.0,58,3.9512437185814275,8.71948076085107,0.0,0,0.0,952,952,6.930494765951626,752,0,7.4815557019095165,468,4.51085950651685,0.0,205,0,0.0,0.0,0.0,7.4815557019095165,7.910957382845589,5.327876168789581,129900,11.77452020265869
190,RL,Pave,No alley access,Lvl,Corner,BrkSide,Artery,other,2fmCon,other,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,Attchd,None,WD,Normal,0,0,0,0,1,0,0,0,0,1,1,1,0,0,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,GdEx,TA,No Pool,No Fence,TA,TA,No,GLQ,Unf,TA,TA,RFn,Y,2,3,1,0,0,0,0,1,1,2,1,2,69,69.0,58,3.9318256327243257,8.912069097970134,0.0,851,0.0,140,991,6.982862751468942,0,0,6.982862751468942,205,0.0,1.6094379124341003,0,0,0.0,0.0,0.0,7.564757012905729,7.634820677745543,1.6094379124341003,118000,11.678439903447801
