MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,log_SalePrice,pt_SalePrice,AgebySale,GarageAge,RemodAge,bin_BsmtFullBath,bin_BsmtHalfBath,bin_HalfBath,bin_FullBath,bin_KitchenAbvGr,bin_BedroomAbvGr,bin_TotRmsAbvGrd,bin_Fireplaces,bin_GarageCars,TotalBath,bin_TotalBath,log_LotFrontage,log_LotArea,log_MasVnrArea,log_BsmtFinSF2,log_1stFlrSF,log_GrLivArea,log_WoodDeckSF,log_OpenPorchSF,log_ScreenPorch,log_PoolArea,log_MiscVal,has_MasVnr,has_2ndFlr,has_LowQualFin,has_WoodDeck,has_OpenPorch,has_EnclosedPorch,has_3SsnPorch,has_ScreenPorch,has_Pool,has_Bsmt,has_Garage,ind_BsmtFinSF1,ind_BsmtFinSF2,ind_MiscVal,TotalLivArea,TotalFlrSF,TotalPorchSF,log_TotalLivArea,log_TotalFlrSF,log_TotalPorchSF,ord_LotShape,ord_LandSlope,ord_ExterQual,ord_ExterCond,ord_BsmtQual,ord_BsmtCond,ord_BsmtExposure,ord_BsmtFinType1,ord_BsmtFinType2,ord_HeatingQC,ord_Electrical,ord_KitchenQual,ord_Functional,ord_FireplaceQu,ord_GarageFinish,ord_GarageQual,ord_GarageCond,ord_PavedDrive,ord_PoolQC,ord_Fence,bin_LotShape,bin_LandSlope,bin_ExterCond,bin_BsmtCond,bin_HeatingQC,bin_Electrical,bin_Functional,bin_GarageQual,bin_GarageCond,bin_PoolQC,bin_Fence,bin_OverallQual,bin_OverallCond,ordbin_LotShape,ordbin_LandSlope,ordbin_ExterCond,ordbin_BsmtCond,ordbin_HeatingQC,ordbin_Electrical,ordbin_Functional,ordbin_GarageQual,ordbin_GarageCond,ordbin_PoolQC,ordbin_Fence,bin_MSSubClass,bin_Neighborhood,bin_Condition1,bin_Condition2,bin_HouseStyle,bin_RoofStyle,bin_RoofMatl,bin_Exterior1st,bin_Exterior2nd,bin_Foundation,bin_Heating,bin_GarageType,bin_MiscFeature,bin_SaleType,bin_SaleCondition
60,RL,65.0,8450,Pave,No alley access,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,No Fireplace,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,No Pool,No Fence,None,0,2,2008,WD,Normal,208500,12.247694320220994,9.487948875386161,5,5.0,5,1,0,1,1,0,1,4,0,2,3.5,5,4.189654742026425,9.042040056544483,5.2832037287379885,0.0,6.75343791859778,7.444833273892193,0.0,4.127134385045092,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,2416,2566,61,7.790282380703483,7.8504931808711405,4.127134385045092,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,SBrkr,Gd,Typ,No Fireplace,RFn,TA,TA,Y,No Pool,No Fence,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,4,2,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,60,CollgCr,Norm,Norm,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Attchd,None,WD,Normal
20,RL,80.0,9600,Pave,No alley access,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,No Pool,No Fence,None,0,5,2007,WD,Normal,181500,12.109010932687042,9.406429202067686,31,31.0,31,0,1,0,1,0,1,2,1,2,2.5,3,4.394449154672439,9.169622538697624,0.0,0.0,7.141245122350491,7.141245122350491,5.700443573390687,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,2240,2524,0,7.714677473800927,7.83399634170946,0.0,Reg,Gtl,TA,TA,Gd,TA,Gd,ALQ,Unf,Ex,SBrkr,TA,Typ,TA,RFn,TA,TA,Y,No Pool,No Fence,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,3,5,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,20,other,Feedr,Norm,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,Attchd,None,WD,Normal
60,RL,68.0,11250,Pave,No alley access,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,No Pool,No Fence,None,0,9,2008,WD,Normal,223500,12.31716669303576,9.52860048511602,7,7.0,6,1,0,1,1,0,1,2,1,2,3.5,5,4.23410650459726,9.328212292571072,5.093750200806762,0.0,6.825460036255307,7.488293515159428,0.0,3.7612001156935624,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,2272,2706,42,7.728855823852543,7.903596289614301,3.7612001156935624,IR1,Gtl,Gd,TA,Gd,TA,Mn,GLQ,Unf,Ex,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,No Pool,No Fence,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,4,2,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,60,CollgCr,Norm,Norm,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Attchd,None,WD,Normal
70,RL,60.0,9550,Pave,No alley access,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,No Pool,No Fence,None,0,2,2006,WD,Abnorml,140000,11.84939770159144,9.252493451623085,91,8.0,36,1,0,0,0,0,1,3,1,3,2.0,2,4.110873864173311,9.164401140034737,0.0,0.0,6.8690144506657065,7.4489161025442,0.0,3.58351893845611,0.0,0.0,0.0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1933,2473,307,7.56734567601324,7.813591552952433,5.730099782973574,IR1,Gtl,TA,TA,TA,Gd,No,ALQ,Unf,Gd,SBrkr,Gd,Typ,Gd,Unf,TA,TA,Y,No Pool,No Fence,IR1,Gtl,TA,Gd,Gd,SBrkr,Typ,TA,TA,No Pool,No Fence,4,2,IR1,Gtl,TA,Gd,Gd,SBrkr,Typ,TA,TA,No Pool,No Fence,70,Crawfor,Norm,Norm,2Story,Gable,CompShg,Wd Sdng,Wd Shng,BrkTil,GasA,Detchd,None,WD,Abnorml
60,RL,84.0,14260,Pave,No alley access,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,No Pool,No Fence,None,0,12,2008,WD,Normal,250000,12.429216196844383,9.593906957549184,8,8.0,8,1,0,1,1,0,2,5,1,3,3.5,5,4.442651256490317,9.565283817736766,5.860786223465865,0.0,7.044032897274685,7.695757990554761,5.262690188904886,4.442651256490317,0.0,0.0,0.0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,2853,3343,84,7.956476798036782,8.114922974204593,4.442651256490317,IR1,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,No Pool,No Fence,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,5,2,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,60,NoRidge,Norm,Norm,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Attchd,None,WD,Normal
50,RL,85.0,14115,Pave,No alley access,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,No Fireplace,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,No Pool,MnPrv,Shed,700,10,2009,WD,Normal,143000,11.870599909242044,9.265130622300195,16,16.0,14,1,0,1,0,0,0,1,0,2,2.5,3,4.454347296253507,9.55506418479516,0.0,0.0,6.680854678790215,7.217443431696533,3.713572066704308,3.4339872044851463,0.0,0.0,6.55250788703459,0,1,0,1,1,0,1,0,0,1,1,1,0,1,2094,2158,350,7.647308832356238,7.677400430514807,5.860786223465865,IR1,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,SBrkr,TA,Typ,No Fireplace,Unf,TA,TA,Y,No Pool,MnPrv,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,MnPrv,2,2,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,MnPrv,50,Mitchel,Norm,Norm,1.5Fin,Gable,CompShg,VinylSd,VinylSd,other,GasA,Attchd,Shed,WD,Normal
20,RL,75.0,10084,Pave,No alley access,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,No Pool,No Fence,None,0,8,2007,WD,Normal,307000,12.634603026569334,9.712788032517487,3,3.0,2,1,0,0,1,0,1,3,1,2,3.0,4,4.330733340286331,9.218804450388312,5.231108616854587,0.0,7.43543801981455,7.43543801981455,5.545177444479562,4.060443010546419,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,3063,3380,57,8.027476530860483,8.125926802707886,4.060443010546419,Reg,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,No Pool,No Fence,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,5,2,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,20,Somerst,Norm,Norm,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Attchd,None,WD,Normal
60,RL,80.0,10382,Pave,No alley access,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,No Pool,No Fence,Shed,350,11,2009,WD,Normal,200000,12.206072645530174,9.46353495821054,36,36.0,36,1,0,1,1,0,1,3,2,2,3.5,5,4.394449154672439,9.247925132303454,5.484796933490655,3.4965075614664802,7.010311867307229,7.645397699428633,5.4638318050256105,5.3230099791384085,0.0,0.0,5.860786223465865,1,1,0,1,1,1,0,0,0,1,1,1,1,1,2981,3197,432,8.000349495324684,8.0702808933939,6.07073772800249,IR1,Gtl,TA,TA,Gd,TA,Mn,ALQ,BLQ,Ex,SBrkr,TA,Typ,TA,RFn,TA,TA,Y,No Pool,No Fence,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,4,3,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,60,NWAmes,PosN,Norm,2Story,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,Attchd,Shed,WD,Normal
50,RM,51.0,6120,Pave,No alley access,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,No Pool,No Fence,None,0,4,2008,WD,Abnorml,129900,11.77452020265869,9.207770506540108,77,77.0,58,0,0,0,1,1,0,4,2,2,2.0,2,3.9512437185814275,8.71948076085107,0.0,0.0,6.930494765951626,7.4815557019095165,4.51085950651685,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1774,2726,205,7.4815557019095165,7.910957382845589,5.327876168789581,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,FuseF,TA,Min1,TA,Unf,Fa,TA,Y,No Pool,No Fence,Reg,Gtl,TA,TA,Gd,MiFuPF,Min1,PoFa,TA,No Pool,No Fence,4,2,Reg,Gtl,TA,TA,Gd,MiFuPF,Min1,PoFa,TA,No Pool,No Fence,50,OldTown,Artery,Norm,1.5Fin,Gable,CompShg,BrkFace,Wd Shng,BrkTil,GasA,Detchd,None,WD,Abnorml
190,RL,50.0,7420,Pave,No alley access,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,No Pool,No Fence,None,0,1,2008,WD,Normal,118000,11.678439903447801,9.150169121661452,69,69.0,58,1,0,0,0,1,0,1,2,1,2.0,2,3.9318256327243257,8.912069097970134,0.0,0.0,6.982862751468942,6.982862751468942,0.0,1.6094379124341003,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1928,2068,4,7.564757012905729,7.634820677745543,1.6094379124341003,Reg,Gtl,TA,TA,TA,TA,No,GLQ,Unf,Ex,SBrkr,TA,Typ,TA,RFn,Gd,TA,Y,No Pool,No Fence,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,GdEx,TA,No Pool,No Fence,2,3,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,GdEx,TA,No Pool,No Fence,190,BrkSide,Artery,other,other,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,Attchd,None,WD,Normal
20,RL,70.0,11200,Pave,No alley access,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,No Fireplace,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,None,0,2,2008,WD,Normal,129500,11.771436160121729,9.205925330857102,43,43.0,43,1,0,0,0,0,1,1,0,1,2.0,2,4.2626798770413155,9.32375833901174,0.0,0.0,6.947937068614969,6.947937068614969,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1946,2080,0,7.5740450053721995,7.640603826393634,0.0,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,Ex,SBrkr,TA,Typ,No Fireplace,Unf,TA,TA,Y,No Pool,No Fence,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,2,2,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,20,Sawyer,Norm,Norm,1Story,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,Detchd,None,WD,Normal
